"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","197","Can update museum","","Mon Apr 13 04:47:47 UTC 2026","passed","Mon Apr 13 04:47:47 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canUpdateMuseumTest"
"","17","Returns Optional.empty() if search museum by unknown id","","Mon Apr 13 04:47:41 UTC 2026","passed","Mon Apr 13 04:47:41 UTC 2026","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","canGetEmptyMuseumByUnknownIdTest"
"","370","Should returns BAD_REQUEST if password is invalid","","Mon Apr 13 04:47:30 UTC 2026","passed","Mon Apr 13 04:47:31 UTC 2026","","[API] Login tests","org.rococo.tests.tests.api.LoginApiTests","shouldReturnBadRequestIfPasswordIsInvalidTest"
"","655","Can not create painting with exists name","","Mon Apr 13 04:47:43 UTC 2026","passed","Mon Apr 13 04:47:43 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canNotCreatePaintingWithExistsNameTest"
"","286","Can not update museum name to exist","","Mon Apr 13 04:47:47 UTC 2026","passed","Mon Apr 13 04:47:48 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canNotUpdateMuseumTitleToExistTest"
"","883","Can not update painting name to exist","","Mon Apr 13 04:47:36 UTC 2026","passed","Mon Apr 13 04:47:37 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canNotUpdatePaintingNameToExistTest"
"","417","Can delete museum","","Mon Apr 13 04:47:32 UTC 2026","passed","Mon Apr 13 04:47:33 UTC 2026","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canDeleteMuseumTest"
"","766","Can not create artist with exists name","","Mon Apr 13 04:47:45 UTC 2026","passed","Mon Apr 13 04:47:46 UTC 2026","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canNotCreateArtistWithExistsNameTest"
"","918","Can create painting","","Mon Apr 13 04:47:50 UTC 2026","passed","Mon Apr 13 04:47:51 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canCreatePaintingTest"
"","324","Should throw CountryNotFoundException if update museum with unknown country","","Mon Apr 13 04:47:41 UTC 2026","passed","Mon Apr 13 04:47:41 UTC 2026","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","shouldThrowCountryNotFoundExceptionIfUpdateMuseumWithUnknownCountryTest"
"","389","Can get painting by id","","Mon Apr 13 04:47:42 UTC 2026","passed","Mon Apr 13 04:47:42 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canGetPaintingByIdTest"
"","1219","Can register user with valid data","","Mon Apr 13 04:47:38 UTC 2026","passed","Mon Apr 13 04:47:39 UTC 2026","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","canRegisterUserWithValidDataTest"
