"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","187","Can delete museum","","Fri May 22 08:30:48 UTC 2026","passed","Fri May 22 08:30:48 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canDeleteMuseumTest"
"","12570","Check painting updates if data length is valid Case: [max]","","Fri May 22 08:34:38 UTC 2026","broken","Fri May 22 08:34:51 UTC 2026","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldUpdatePaintingWithValidLengthDataTest"
"","6","Check displayed default empty list if museum not exists","","Fri May 22 08:32:13 UTC 2026","failed","Fri May 22 08:32:13 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldDisplayEmptyListWhenMuseumsNotExistsTest"
"","7299","Check errors visible on add new artist form if fields have greater than max characters length Case: [max + 1]","","Fri May 22 08:31:59 UTC 2026","passed","Fri May 22 08:32:06 UTC 2026","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldDisplayErrorsOnAddAristFormIfArtistFieldsHaveGreaterThanMaxLengthTest"
"","26931","Check errors visible on update museum form if fields have invalid data length Case: [max + 1]","","Fri May 22 08:32:43 UTC 2026","passed","Fri May 22 08:33:10 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldVisibleErrorsOnMuseumUpdateFormIfMuseumFieldsHaveInvalidDataLengthTest"
"","50","Can get country by id","","Fri May 22 08:30:47 UTC 2026","passed","Fri May 22 08:30:47 UTC 2026","","[GRPC] Countries tests","org.rococo.tests.tests.fake.grpc.CountryGrpcTest","canGetCountryByIdTest"
"","4254","Check errors displayed if username has invalid pattern Case: [username contains invalid special]","","Fri May 22 08:35:52 UTC 2026","passed","Fri May 22 08:35:56 UTC 2026","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfUsernameHasInvalidPatternTest"
"","4338","Check errors displayed if password has invalid pattern Case: [password not contains lowercase symbols]","","Fri May 22 08:35:48 UTC 2026","passed","Fri May 22 08:35:52 UTC 2026","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfPasswordHasInvalidPatternTest"
"","3","Returns Optional.empty() if search country by unknown country code","","Fri May 22 08:30:31 UTC 2026","passed","Fri May 22 08:30:31 UTC 2026","","[API] Countries tests","org.rococo.tests.tests.api.CountryApiTest","canGetEmptyCountryByUnknownCountryCodeTest"
"","3733","Check errors displayed if registration data has invalid length Case: [max + 10]","","Fri May 22 08:36:02 UTC 2026","passed","Fri May 22 08:36:06 UTC 2026","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfRegistrationDataLengthIsInvalidTest"
"","614","Can delete painting","","Fri May 22 08:30:50 UTC 2026","passed","Fri May 22 08:30:50 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canDeletePaintingTest"
"","2077","Can get all paintings","","Fri May 22 08:30:48 UTC 2026","passed","Fri May 22 08:30:50 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canGetAllPaintingsTest"
