01:59:02.952 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final

01:59:03.192 [background-preinit] INFO  o.a.k.c.producer.ProducerConfig - Idempotence will be disabled because acks is set to 0, not set to 'all'.

01:59:05.838 [kafka-producer-network-thread | producer-1] INFO  org.apache.kafka.clients.Metadata - [Producer clientId=producer-1] Cluster ID: EhdtqV8iRGSx8mwb-dgtQw

01:59:03.199 [main] INFO  o.r.files.RococoFilesApplication - Starting RococoFilesApplication using Java 21.0.10 with PID 1 (/app/classes started by root in /)

01:59:05.985 [main] INFO  o.r.files.RococoFilesApplication - The following 1 profile is active: "docker"

01:59:12.464 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.

01:59:13.106 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 594 ms. Found 2 JPA repository interfaces.

01:59:20.230 [main] WARN  com.zaxxer.hikari.HikariConfig - HikariPool-1 - maxLifetime is less than 30000ms, setting to default 1800000ms.

01:59:20.262 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...

01:59:21.087 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@4ce267cc

01:59:21.101 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.

01:59:21.392 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://rococo-db:5432/rococo-files (PostgreSQL 16.8)

01:59:21.723 [main] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Repair of failed migration in Schema History table "flyway"."flyway_schema_history" not necessary as table doesn't exist.

01:59:21.851 [main] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Schema history table "flyway"."flyway_schema_history" does not exist yet

01:59:21.888 [main] INFO  o.f.core.internal.command.DbRepair - Successfully repaired schema history table "flyway"."flyway_schema_history" (execution time 00:00.216s).

01:59:22.028 [main] INFO  o.f.c.internal.database.base.Schema - Creating schema "flyway" ...

01:59:22.065 [main] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Creating Schema History table "flyway"."flyway_schema_history" ...

01:59:22.627 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "flyway": null

01:59:22.753 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "flyway" to version "1 - schema init"

01:59:22.969 [main] INFO  o.f.core.internal.command.DbMigrate - Successfully applied 1 migration to schema "flyway", now at version v1 (execution time 00:00.170s)

01:59:23.994 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]

01:59:24.307 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final

01:59:24.558 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled

01:59:26.926 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer

01:59:27.185 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)

01:59:32.627 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)

01:59:33.045 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'

01:59:35.853 [main] WARN  o.s.aop.framework.CglibAopProxy - Unable to proxy interface-implementing method [public final io.grpc.ServerServiceDefinition org.rococo.grpc.files.FilesServiceGrpc$FilesServiceImplBase.bindService()] because it is marked as final, consider using interface-based JDK proxies instead.

01:59:37.409 [main] INFO  n.d.b.g.s.a.GrpcServerFactoryAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyGrpcServerFactory

01:59:41.206 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: org.rococo.grpc.files.FilesService, bean: imageGrpcService, class: org.rococo.files.service.ImageGrpcService$$SpringCGLIB$$0

01:59:41.207 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: grpc.health.v1.Health, bean: grpcHealthService, class: io.grpc.protobuf.services.HealthServiceImpl

